"Date","Price","Open","High","Low"
"Jan 14, 2020","10645.38","10669.58","10675.65","10558.33"
"Jan 13, 2020","10670.94","10809.69","10809.76","10654.27"
"Jan 10, 2020","10809.88","10762.73","10816.07","10707.07"
"Jan 09, 2020","10761.20","10810.20","10837.21","10661.22"
"Jan 08, 2020","10811.38","10938.60","11192.76","10783.46"
"Jan 07, 2020","10934.60","10922.79","10955.33","10830.63"
"Jan 06, 2020","10923.20","10810.17","11018.05","10810.17"
"Jan 03, 2020","10808.03","10650.58","10820.56","10641.89"
"Jan 02, 2020","10649.50","10558.64","10664.87","10558.36"
"Jan 01, 2020","10565.23","10569.17","10569.17","10565.23"
"Dec 31, 2019","10565.92","10589.51","10638.66","10556.27"
"Dec 30, 2019","10585.87","10574.01","10599.26","10547.96"
"Dec 27, 2019","10568.25","10567.42","10600.97","10543.88"
"Dec 26, 2019","10572.83","10485.45","10584.18","10471.73"
"Dec 25, 2019","10480.95","10507.90","10507.90","10463.33"
"Dec 24, 2019","10508.17","10422.22","10518.78","10414.77"
"Dec 23, 2019","10417.55","10357.24","10422.08","10352.33"
"Dec 20, 2019","10357.38","10368.35","10382.69","10338.45"
"Dec 19, 2019","10367.83","10328.83","10388.70","10319.28"
"Dec 18, 2019","10336.19","10335.42","10362.85","10298.67"
"Dec 17, 2019","10329.55","10321.41","10359.22","10307.18"
"Dec 16, 2019","10322.83","10309.27","10360.31","10290.76"
"Dec 13, 2019","10315.17","10268.02","10330.44","10215.88"
"Dec 12, 2019","10267.10","10386.80","10467.47","10230.45"
"Dec 11, 2019","10380.78","10296.04","10409.61","10289.59"
"Dec 10, 2019","10301.62","10290.46","10335.09","10271.59"
"Dec 09, 2019","10289.27","10267.03","10318.17","10258.68"
"Dec 06, 2019","10269.31","10398.69","10407.22","10259.91"
"Dec 05, 2019","10398.12","10392.50","10429.83","10362.00"
"Dec 04, 2019","10394.58","10434.51","10500.01","10371.89"
"Dec 03, 2019","10432.49","10292.90","10462.17","10273.83"
"Dec 02, 2019","10294.27","10314.89","10314.89","10240.00"
"Nov 29, 2019","10312.95","10245.65","10313.87","10210.23"
"Nov 28, 2019","10259.94","10220.01","10259.94","10220.01"
"Nov 27, 2019","10221.92","10277.39","10282.61","10206.95"
"Nov 26, 2019","10278.73","10240.83","10290.49","10200.67"
"Nov 25, 2019","10239.35","10294.63","10294.63","10228.73"
"Nov 22, 2019","10294.52","10294.85","10372.88","10280.74"
"Nov 21, 2019","10294.31","10353.98","10397.58","10279.78"
"Nov 20, 2019","10354.05","10348.43","10407.97","10312.25"
"Nov 19, 2019","10347.90","10337.39","10367.82","10283.28"
"Nov 18, 2019","10338.83","10285.72","10357.09","10212.75"
"Nov 15, 2019","10283.69","10327.96","10329.80","10247.64"
"Nov 14, 2019","10329.70","10278.65","10352.05","10252.93"
"Nov 13, 2019","10278.11","10208.81","10306.14","10204.35"
"Nov 12, 2019","10207.04","10206.79","10233.67","10129.37"
"Nov 11, 2019","10206.07","10207.20","10279.17","10152.33"
"Nov 08, 2019","10204.83","10246.50","10289.25","10171.60"
"Nov 07, 2019","10248.24","10432.42","10471.85","10195.45"
"Nov 06, 2019","10431.06","10400.18","10457.33","10371.18"
"Nov 05, 2019","10399.59","10613.38","10616.75","10369.74"
"Nov 04, 2019","10613.06","10652.80","10653.86","10576.92"
"Nov 01, 2019","10657.41","10649.51","10668.28","10582.33"
"Oct 31, 2019","10650.48","10553.55","10664.56","10533.03"
"Oct 30, 2019","10552.43","10513.35","10559.67","10448.35"
"Oct 29, 2019","10511.93","10546.92","10559.02","10481.47"
"Oct 28, 2019","10548.83","10627.92","10650.30","10529.22"
"Oct 25, 2019","10630.17","10631.57","10731.51","10600.85"
"Oct 24, 2019","10631.58","10537.80","10632.28","10511.81"
"Oct 23, 2019","10542.23","10531.18","10582.08","10530.40"
"Oct 22, 2019","10528.66","10501.61","10547.13","10476.78"
